<<<<<<< Updated upstream
"WCID","NAME","COUNTRY","LAT","LONG","ALT"
1331,"Adelong Post Office","AUSTRALIA",-35.32,148.07,333
1332,"Aden Khormaksar","YEMEN",12.833,45.033,3
1340,"Adi Keyih","ERITREA",14.816,39.316,2490
1348,"Adiake","COTE D'IVOIRE",5.3,-3.3,37
1351,"Adigrat","ETHIOPIA",14.266,39.45,2457
1355,"Adin Ranger Station","UNITED STATES",41.2,-120.95,1279
1360,"Adiyaman","TURKEY",37.75,38.28,678
1369,"Adola (Kibremengist)","ETHIOPIA",5.916,39.083,2170
1381,"Adrianopolis","BRAZIL",-24.666,-49,400
1386,"Advance 1 S","UNITED STATES",37.1,-89.9,108
1387,"Adwa","ETHIOPIA",14.166,38.9,1980
1403,"Aetna 2 S","UNITED STATES",37.066,-98.966,479
1406,"Afgoi","SOMALIA",2.14,45.133,83
1410,"Afmadu","SOMALIA",0.516,42.066,29
1413,"Afonso Bezerra","BRAZIL",-5.483,-36.483,80
1419,"Afsondering","SOUTH AFRICA",-30.16,28.94,1615
1420,"Afton","UNITED STATES",42.733,-110.933,1893
1423,"Afyon","TURKEY",38.75,30.53,1034
1425,"Agadez","NIGER",16.966,7.983,502
1426,"Agadir","MOROCCO",30.383,-9.566,23
1429,"Agalega","MAURITIUS",-10.433,56.75,3
1435,"Agaro","ETHIOPIA",7.85,36.63,1560
1438,"Agassiz Cda","CANADA",49.3,-121.8,50
1439,"Agassiz Cda, Bc","CANADA",49.25,-121.77,15
1440,"Agassiz Refuge","UNITED STATES",48.3,-95.983,348
1443,"Agate 3 E","UNITED STATES",42.45,-103.833,1423
1449,"Agdam","AZERBAIJAN",39.983,46.95,252
1455,"Agen","FRANCE",44.183,0.6,60
1467,"Agordat","ERITREA",15.55,37.88,626
1469,"Agostadero","MEXICO",21.36,-102.31,1760
1478,"Agra","INDIA",27.16,78.033,169
1483,"Agri","TURKEY",39.715,43.05,1632
1501,"Agua Branca","BRAZIL",-9.25,-37.93,559
1502,"Agua Branca","BRAZIL",-7.515,-37.645,710
1508,"Agua Caliente","HONDURAS",14.66,-87.3,554
1531,"Agua Nueva","MEXICO",25.24,-102.98,1219
1537,"Agua Tibia","MEXICO",20.49,-101.63,1710
1555,"Aguas Belas","BRAZIL",-9.12,-37.12,376
1556,"Aguas Claras","COLOMBIA",8.24,-73.61,208
1565,"Aguazul","COLOMBIA",5.16,-72.54,380
1566,"Aguiar","BRAZIL",-7.066,-38.166,280
1568,"Aguila","UNITED STATES",33.95,-113.183,660
1579,"Ahero","KENYA",-0.133,34.916,1219
1583,"Ahlat","TURKEY",38.8,42.5,1750
1585,"Ahmadabad","INDIA",23.066,72.633,55
1587,"Ahmadnagar","INDIA",19.083,74.91,657
1613,"Ahwaz","IRAN, ISLAMIC REPUBLIC OF",31.333,48.666,22
1615,"Aihui","CHINA",50.25,127.45,166
1619,"Aikawa","JAPAN",38.015,138.25,36
1623,"Ailey","UNITED STATES",32.183,-82.566,72
1627,"Aimores","BRAZIL",-19.5,-41.0667,82
1632,"Ain Ebel","LEBANON",33.116,35.4,765
1647,"Ain Sefra","ALGERIA",32.77,-0.6,1058
1655,"Ainsworth","UNITED STATES",42.55,-99.866,765
1656,"Aiome","PAPUA NEW GUINEA",-5.116,144.75,107
1657,"Aioun El Atrouss","MAURITANIA",16.7,-9.6,223
1665,"Aishihik A, Yt","CANADA",61.65,-137.48,966
1666,"Aisyalukharka","NEPAL",27.333,86.716,2143
1671,"Aitkin 1 E","UNITED STATES",46.533,-93.7,370
1682,"Ajiro","JAPAN",35.05,139.1,68
1684,"Ajmer","INDIA",26.45,74.616,486
1689,"Ajojucar","MEXICO",21.55,-102.43,1745
1695,"Ak Bajtal","UZBEKISTAN",43.15,64.333,234
1698,"Akaki","ETHIOPIA",8.866,38.783,2100
1708,"Akcaabat","TURKEY",41,39.6,10
1709,"Akcakale","TURKEY",36.7,38.96,375
1710,"Akcakoca","TURKEY",41.1,31.1,10
1713,"Akhelia","CYPRUS",34.733,32.483,45
1714,"Akhisar","TURKEY",38.92,27.85,93
1722,"Akjoujt","MAURITANIA",19.75,-14.366,120
1729,"Aklavik A, Nw","CANADA",68.22,-135,7
1732,"Akobo","SUDAN",7.783,33.016,400
1736,"Akola","INDIA",20.7,77.033,282
1741,"Akqi","CHINA",40.93,78.45,1986
1742,"Akrades","CYPRUS",35.483,34.166,150
1744,"Akron 4 E","UNITED STATES",40.15,-103.15,1384
1745,"Akron/1 N","UNITED STATES",40.17,-103.22,1421
1746,"Akron/Akron Canton Reg Ap","UNITED STATES",40.92,-81.43,378
1749,"Aksaray","TURKEY",38.383,34.05,980
1750,"Aksaray","TURKEY",38.4,34.1,965
1751,"Aksehir","TURKEY",38.35,31.383,1070
1752,"Aksehir","TURKEY",38.4,31.4,1010
1762,"Akuse","GHANA",6.1,-0.12,17
1763,"Akuse","GHANA",6.1,0.116,19
1765,"Akyab","MYANMAR",20.116,92.9,9
1768,"Al Jouf","SAUDI ARABIA",29.783,40.1,689
1775,"Alabat","PHILIPPINES",14.08,122.02,5
1781,"Alagoa Grande","BRAZIL",-7.033,-35.616,180
1782,"Alagoa Nova","BRAZIL",-7.05,-35.766,500
1786,"Alagoinhas","BRAZIL",-12.28,-38.58,130
1791,"Alamata","ETHIOPIA",12.42,39.55,1660
1796,"Alameda/Nas","UNITED STATES",37.73,-122.32,5
1799,"Alamogordo White","UNITED STATES",32.833,-105.983,1279
1803,"Alamos","MEXICO",27.03,-108.94,389
1816,"Alanya","TURKEY",36.55,32.016,7
1826,"Albanel","CANADA",48.9,-72.5,499
1827,"Albanel, Qu","CANADA",48.88,-72.45,152
1828,"Albania","COLOMBIA",5.78,-73.91,1690
1836,"Albany (Albany A.M.O.)","AUSTRALIA",-34.95,117.8,68
1846,"Albany/Naval Air Stn","UNITED STATES",31.58,-84.12,66
1850,"Albenga","ITALY",44.05,8.116,49
1852,"Albert Lea (Awos)","UNITED STATES",43.683,-93.366,383
1858,"Alberta Ford For Ctr","UNITED STATES",46.65,-88.483,399
1859,"Albia 3nne","UNITED STATES",41.07,-92.785,268
1860,"Albin","UNITED STATES",41.416,-104.1,1629
1861,"Albion","UNITED STATES",38.383,-88.05,162
1877,"Alcalde","UNITED STATES",36.1,-106.066,1731
1888,"Alcove Dam","UNITED STATES",42.466,-73.933,183
1890,"Alcozauca","MEXICO",17.46,-98.38,1300
1902,"Alder 17 S","UNITED STATES",45.066,-112.066,1783
1914,"Alegrete","BRAZIL",-29.76,-55.78,103
1919,"Aleksandrov Gaj","RUSSIAN FEDERATION",50.15,48.55,25
1923,"Alekzandrovsk Sakh.","RUSSIAN FEDERATION",50.9,142.17,31
1926,"Aleman Ranch","UNITED STATES",32.916,-106.933,1379
1927,"Alemaya","ETHIOPIA",9.433,42.05,2125
1929,"Alencon","FRANCE",48.45,0.116,141
1931,"Aleppo","SYRIA",36.183,37.216,393
1933,"Alert Bay, Bc","CANADA",50.58,-126.93,63
1934,"Alert, Nw","CANADA",82.5,-62.33,64
1935,"Alessandra","SOMALIA",0.49,42.76,24
1942,"Alexander 18 Sw","UNITED STATES",47.7,-103.983,620
1945,"Alexander Bay","SOUTH AFRICA",-28.565,16.53,21
1946,"Alexander City","UNITED STATES",32.95,-85.933,195
1949,"Alexandra Post Office","AUSTRALIA",-37.2,145.72,208
1951,"Alexandria","BRAZIL",-6.42,-38.02,315
1952,"Alexandria","EGYPT",31.19,29.88,32
1960,"Alexandria/Faa Airport","UNITED STATES",45.87,-95.38,431
1961,"Alexandria/Fcwos","UNITED STATES",31.4,-92.3,32
1963,"Alexandroupolis","GREECE",40.85,25.916,3
1964,"Alexis Creek Tautri Crk, Bc","CANADA",52.55,-123.18,1219
1965,"Alexis Creek, Bc","CANADA",52.08,-123.28,800
1967,"Aleza Lake, Bc","CANADA",54.12,-122.07,625
1968,"Alfajayucan R.Ch","MEXICO",20.41,-99.34,1800
1977,"Alfredo Chaves","BRAZIL",-28.955,-51.91,716
1982,"Algeciras","COLOMBIA",2.58,-75.29,1155
1983,"Alger","ALGERIA",36.766,3.05,60
1986,"Algesiras","SPAIN",36.15,-5.666,20
1997,"Alhandra","BRAZIL",-7.416,-34.92,49
2006,"Alibag","INDIA",18.633,72.866,7
2008,"Alicante","SPAIN",38.366,-0.5,82
2009,"Alice","UNITED STATES",27.735,-98.07,61
2014,"Aliceville","UNITED STATES",33.133,-88.166,41
2016,"Alicia","UNITED STATES",35.9,-91.083,78
2017,"Alifuatpasa","TURKEY",40.5,30.3,100
2019,"Aligarh","INDIA",27.883,78.066,187
2026,"Alishan (Mount)","TAIWAN",23.5,120.783,2215
2031,"Aliwal North","SOUTH AFRICA",-30.715,26.715,1300
2032,"Alkali Lake","UNITED STATES",42.966,-120,1320
2039,"Allahabad","INDIA",25.433,81.816,98
2040,"Allahabad Bamhrauli","INDIA",25.45,81.733,98
2043,"Allakaket","UNITED STATES",66.57,-152.67,183
2045,"Allardt","UNITED STATES",36.383,-84.866,511
2047,"Allatoona Dam 2","UNITED STATES",34.166,-84.733,297
2049,"Allegan","UNITED STATES",42.516,-85.833,204
2060,"Allens Ranch","UNITED STATES",40.883,-109.133,1673
2063,"Alleppey","INDIA",9.55,76.416,4
2064,"Allerton","SOUTH AFRICA",-29.56,30.34,640
2068,"Alliance, Al","CANADA",52.43,-111.78,716
2073,"Allison","UNITED STATES",42.75,-92.783,320
2075,"Alliston, Pe","CANADA",46.05,-62.6,53
2082,"Alma Ata","UNION OF SOVIET SOCIALIST REPUBLICS",43.26,76.86,774
2084,"Alma Chaab","LEBANON",33.1,35.183,385
2085,"Alma Dam 4","UNITED STATES",44.333,-91.933,204
2086,"Alma Faa Ap","UNITED STATES",31.533,-82.516,60
2092,"Almenara","BRAZIL",-16.166,-40.683,183
2094,"Almeria","SPAIN",36.833,-2.466,6
2105,"Almonte, On","CANADA",45.18,-76.23,125
2118,"Alpena Ww Tmt Plt","UNITED STATES",45.066,-83.433,179
2123,"Alpharetta 5 Ssw","UNITED STATES",34,-84.3,317
2126,"Alpine","UNITED STATES",32.833,-116.766,529
2127,"Alpine","UNITED STATES",33.85,-109.133,2454
2128,"Alpine","UNITED STATES",40.45,-111.783,1506
2130,"Alpullu","TURKEY",41.366,27.133,70
2131,"Alpullu Seker F","TURKEY",41.4,27.2,70
2133,"Alsask Hardene, Sa","CANADA",51.33,-109.85,658
2144,"Altai","MONGOLIA",46.4,96.25,2147
2147,"Altamira","BRAZIL",-3.2,-52.2,74
2148,"Altamira","COLOMBIA",2.06,-75.79,1020
2151,"Altamira","DOMINICAN REPUBLIC",19.666,-70.833,310
2158,"Altamirano","MEXICO",16.73,-92.03,1240
2160,"Altamont","UNITED STATES",40.366,-110.283,1942
2162,"Altar","MEXICO",30.71,-111.73,397
2169,"Altenbern","UNITED STATES",39.5,-108.383,1734
2175,"Altinova Duc","TURKEY",38.7,32.2,1130
2188,"Alto D.Comedero","ARGENTINA",-24.216,-65.266,1253
2198,"Alto Itatiaia","BRAZIL",-22.41,-44.816,2198
2201,"Alto Longa","BRAZIL",-5.26,-42.22,150
2202,"Alto Molocue","MOZAMBIQUE",-15.633,37.65,564
2222,"Alton","UNITED STATES",36.7,-91.4,262
2226,"Alton 6 Ese","UNITED STATES",39.433,-98.85,500
2227,"Alton Dam 26","UNITED STATES",38.883,-90.183,131
2229,"Altoona/Blair County Arpt","UNITED STATES",40.3,-78.32,450
2235,"Alturas Ranger Station","UNITED STATES",41.5,-120.55,1341
2236,"Altus Dam","UNITED STATES",34.883,-99.3,465
2239,"Altus/Afb","UNITED STATES",34.65,-99.27,414
2242,"Alum Fork","UNITED STATES",34.8,-92.866,238
2248,"Alvarado","MEXICO",18.76,-95.75,9
2249,"Alvaro Obreg.Col","MEXICO",22.266,-99.655,1239
2253,"Alvear","ARGENTINA",-35,-67.633,464
2255,"Alvin (Hou Area Wso)","UNITED STATES",29.416,-95.216,13
2264,"Alyeksa","UNITED STATES",60.966,-149.133,76
2287,"Amani","TANZANIA",-5.15,38.6,911
2298,"Amarah","IRAQ",31.85,47.166,9
2315,"Amasya","TURKEY",40.65,35.85,412
2325,"Amatlan De Canas","MEXICO",20.8,-104.43,800
2334,"Ambahivahibe","MADAGASCAR",-12.583,49.266,370
2336,"Ambala","INDIA",30.383,76.766,272
2344,"Ambanja","MADAGASCAR",-13.666,48.44,40
2348,"Ambato","ECUADOR",-1.25,-78.615,2540
2349,"Ambato  Boeni","MADAGASCAR",-16.466,46.716,40
2352,"Ambatolampy","MADAGASCAR",-19.366,47.433,1555
2354,"Ambatomainty","MADAGASCAR",-17.683,45.666,350
2356,"Ambatondrazaka","MADAGASCAR",-17.8,48.433,767
2366,"Ambilobe","MADAGASCAR",-13.18,49.09,30
2369,"Ambo (Hagere Hiwot)","ETHIOPIA",8.966,37.866,2080
2371,"Ambodifototra","MADAGASCAR",-17,49.833,10
2384,"Amboina","INDONESIA",-3.683,128.15,4
2393,"Ambovombe","MADAGASCAR",-25.183,46.08,135
2400,"Ambulong","PHILIPPINES",14.08,121.05,11
2402,"Ambunti","PAPUA NEW GUINEA",-4.18,142.78,48
2408,"Amealco","MEXICO",20.18,-100.14,2599
2410,"Ameca","MEXICO",20.56,-104.06,1234
2413,"Amecameca Juarez","MEXICO",19.11,-98.76,2590
2415,"Amenadina","VENEZUELA",4.16,-63.74,380
2419,"American Falls 1 Sw","UNITED STATES",42.783,-112.866,1316
2424,"Americus 3 Sw","UNITED STATES",32.05,-84.25,149
2426,"Amery","UNITED STATES",45.3,-92.366,326
2428,"Ames 8 Wsw","UNITED STATES",42.033,-93.8,335
2435,"Amherst","MYANMAR",16.066,97.533,21
2439,"Amidon","UNITED STATES",46.483,-103.316,887
2440,"Amini Divi","INDIA",11.116,72.733,4
2445,"Amistad 3 Ese","UNITED STATES",35.916,-103.2,1375
2449,"Amity 5 Wnw","UNITED STATES",39.883,-94.466,323
2452,"Amlekhganj","NEPAL",27.25,85,359
2455,"Amman","JORDAN",31.933,35.933,776
2456,"Amman Airport","JORDAN",31.983,35.983,768
2466,"Amos, Qu","CANADA",48.57,-78.13,310
2475,"Ampanihy Ouest","MADAGASCAR",-24.683,44.74,275
2483,"Ampasimpolaka","MADAGASCAR",-25.15,46.466,67
2486,"Ampatakamaroreny","MADAGASCAR",-16.48,48.783,850
2496,"Amraoti","INDIA",20.933,77.783,370
2499,"Amritsar","INDIA",31.633,74.866,234
2521,"An Yang","CHINA",36.033,114.3,150
2523,"Ana","IRAQ",34.466,41.95,150
2526,"Anaco Socony Oil","VENEZUELA",9.416,-64.455,217
2527,"Anacoco","VENEZUELA",6.74,-61.13,90
2532,"Anadarko 2 Nne","UNITED STATES",35.1,-98.233,364
2534,"Anadia","BRAZIL",-9.616,-36.316,140
2540,"Anahuac","UNITED STATES",29.783,-94.666,7
2554,"Anamosa 1 Wnw","UNITED STATES",42.116,-91.3,245
2563,"Anantapur","INDIA",14.683,77.616,350
2568,"Anarmani Birta","NEPAL",26.616,87.95,122
2570,"Anatuya","ARGENTINA",-28.466,-62.833,108
2571,"Anaua","BRAZIL",-7.233,-38.616,600
2581,"Ancon","ECUADOR",-2.33,-80.85,6
2583,"Ancona","ITALY",43.583,13.466,103
2585,"Ancuabe","MOZAMBIQUE",-12.966,39.85,349
2586,"Ancud","CHILE",-41.85,-73.8,19
2592,"Andagoya","COLOMBIA",5.06,-76.42,35
2593,"Andagoya","COLOMBIA",5.1,-76.666,65
2596,"Andalgala","ARGENTINA",-27.583,-66.316,1072
2597,"Andalusia 1 Nw","UNITED STATES",31.316,-86.5,76
2598,"Andamooka","AUSTRALIA",-30.45,137.17,76
2599,"Andapa","MADAGASCAR",-14.65,49.616,471
2601,"Andarai","BRAZIL",-12.83,-41.316,386
2604,"Andersen Afb Guam","UNITED STATES",13.583,-144.916,190
2607,"Anderson","UNITED STATES",36.65,-94.433,320
2609,"Anderson Dam","UNITED STATES",43.35,-115.466,1183
2611,"Anderson Municipal","UNITED STATES",40.116,-85.616,280
2614,"Anderson/Faa Airport","UNITED STATES",34.5,-82.72,231
2618,"Andir","CHINA",37.93,83.65,1264
2619,"Andira","BRAZIL",-23.055,-50.216,500
2623,"Andong","KOREA, REPUBLIC OF",36.55,128.72,141
2629,"Andrew, Al","CANADA",54.02,-112.23,610
2630,"Andrews","UNITED STATES",32.316,-102.533,967
2631,"Andrews","UNITED STATES",33.433,-79.566,9
2632,"Andrews","UNITED STATES",35.2,-83.833,533
2634,"Andrews/Afb","UNITED STATES",38.8,-76.88,84
2644,"Aneityum","VANUATU",-20.23,169.765,7
2647,"Aneroid, Sa","CANADA",49.72,-107.3,754
2648,"Aneth Plant","UNITED STATES",37.25,-109.333,1408
2649,"Angamacutiro","MEXICO",20.15,-101.69,1722
2656,"Angel Albino Cor","MEXICO",15.91,-92.71,590
2658,"Angel Gallardo","ARGENTINA",-31.566,-60.666,17
2664,"Angelica","UNITED STATES",42.3,-78.02,435
2666,"Angers","FRANCE",47.5,-0.566,58
2671,"Angicos","BRAZIL",-5.655,-36.583,109
2676,"Angleton Lake Jacks","UNITED STATES",29.116,-95.466,8
2683,"Angoon","UNITED STATES",57.5,-134.583,1
2700,"Angul","INDIA",20.833,85.1,139
2705,"Angwin Pac Union Col","UNITED STATES",38.566,-122.433,553
2709,"Aniak/Airport","UNITED STATES",61.58,-159.53,28
2711,"Animas","UNITED STATES",31.95,-108.816,1346
2728,"Ankara Central","TURKEY",39.95,32.88,891
2729,"Ankara Etimesgut","TURKEY",39.95,32.68,806
2736,"Ankavandra","MADAGASCAR",-18.766,45.283,130
2737,"Ankazoabo Sud","MADAGASCAR",-22.283,44.516,428
2738,"Ankazobe","MADAGASCAR",-18.316,47.116,1225
2742,"Ankeny 3 S","UNITED STATES",41.683,-93.6,287
2751,"Ann Arbor Municipal","UNITED STATES",42.216,-83.75,256
2752,"Ann Arbor Univ Of Mi","UNITED STATES",42.3,-83.72,275
2754,"Anna 1e","UNITED STATES",37.47,-89.235,195
2758,"Annaba","ALGERIA",36.833,7.816,4
2765,"Annapolis (Cgs)","UNITED STATES",38.916,-76.466,8
2766,"Annapolis Royal, Ns","CANADA",44.75,-65.52,8
2767,"Annapolis/Naf","UNITED STATES",38.98,-76.47,8
2777,"Annex Creek","UNITED STATES",58.32,-134.1,7
2780,"Anniston/Faa Airport","UNITED STATES",33.58,-85.85,186
2787,"Anolaima","COLOMBIA",4.75,-74.483,1726
2789,"Anosibe","MADAGASCAR",-19.433,48.18,750
2792,"Anqing","CHINA",30.53,117.05,20
2800,"Anselmo 2 Se","UNITED STATES",41.6,-99.833,789
2803,"Anson","UNITED STATES",32.766,-99.9,518
2811,"Antakya","TURKEY",36.25,36.11,100
2812,"Antalaha","MADAGASCAR",-15,50.333,24
2813,"Antalaha","MADAGASCAR",-14.883,50.25,88
2814,"Antalya","TURKEY",36.7,30.73,57
2815,"Antalya","TURKEY",36.88,30.7,43
2816,"Antananarivo","MADAGASCAR",-18.9,47.533,1310
2822,"Antanimora","MADAGASCAR",-24.833,45.666,300
2833,"Antenor Navarro","BRAZIL",-6.73,-38.44,240
2834,"Antero Reservoir","UNITED STATES",39,-105.883,2719
2835,"Anthony","UNITED STATES",37.15,-98.045,408
2841,"Antigo 1 Ssw","UNITED STATES",45.133,-89.15,442
2845,"Antioch 2 Nw","UNITED STATES",42.5,-88.133,229
2846,"Antioch Pumping Plt 3","UNITED STATES",37.983,-121.733,18
2856,"Antokazo","MADAGASCAR",-17.666,48.55,1050
2857,"Anton","PANAMA",8.383,-80.266,33
2861,"Antonina","BRAZIL",-25.316,-48.733,400
2862,"Antonina Do Nort","BRAZIL",-6.7,-39.95,270
2868,"Antsirabe","MADAGASCAR",-19.816,47.066,1532
2869,"Antsirabe","MALAYSIA",-19.86,47,1506
2882,"Anvil Ranch","UNITED STATES",31.983,-111.383,838
2883,"Anvil, Yt","CANADA",62.37,-133.38,1158
2884,"Anyang","CHINA",36.12,114.37,76
2890,"Anzali","IRAN, ISLAMIC REPUBLIC OF",37.466,49.466,23
2900,"Aoulef El Arab","ALGERIA",27.033,0.71,290
2903,"Apache","UNITED STATES",34.9,-98.366,390
2904,"Apache Powder Company","UNITED STATES",31.9,-110.25,1125
2907,"Apan","MEXICO",19.71,-98.44,2480
2917,"Aparri","PHILIPPINES",18.365,121.63,3
2926,"Apatzingan","MEXICO",19.08,-102.35,382
2943,"Apodi","BRAZIL",-5.65,-37.8,65
2951,"Apolo","BOLIVIA",-14.75,-68.516,1383
2964,"Appleton","UNITED STATES",44.25,-88.366,229
2965,"Appleton","UNITED STATES",45.816,-121.266,712
2968,"Appling 2 Nw","UNITED STATES",33.566,-82.333,113
2969,"Appomattox","UNITED STATES",37.366,-78.833,277
2972,"Apto Aguas Clara","COLOMBIA",8.31,-73.36,1435
2973,"Apto Alm Padilla","COLOMBIA",11.53,-72.93,4
2977,"Apto Maicao","COLOMBIA",11.39,-72.24,53
2978,"Apto Mariquita","COLOMBIA",5.18,-74.89,475
2979,"Apto Palanquero","COLOMBIA",5.48,-74.64,172
2981,"Apucarana","BRAZIL",-23.483,-51.516,746
2986,"Aputiteq","GREENLAND",67.783,-32.3,12
2987,"Aqaba","JORDAN",29.55,35,8
2990,"Aqaba Port","JORDAN",29.483,34.983,3
2998,"Aquidaba","BRAZIL",-10.26,-37.016,217
2999,"Aquidauna","BRAZIL",-20.455,-55.8,151
3003,"Aquiraz","BRAZIL",-3.883,-38.366,30
3013,"Aracaju","BRAZIL",-10.983,-37.066,9
3025,"Aracatu","BRAZIL",-14.42,-41.46,800
3028,"Araci","BRAZIL",-11.33,-38.933,212
3033,"Aracuai","BRAZIL",-16.85,-42.06,314
3039,"Aragua De Barc 1","VENEZUELA",9.44,-64.81,100
3055,"Arak","IRAN, ISLAMIC REPUBLIC OF",34.1,49.4,1720
3074,"Aransas Wl Refuge","UNITED STATES",28.266,-96.8,5
3080,"Araouane","MALI",18.88,-3.53,285
3085,"Arapkir","TURKEY",39.1,38.5,1200
3088,"Arapongas","BRAZIL",-23.383,-51.416,810
3094,"Araracuara","COLOMBIA",-0.61,-72.39,150
3095,"Ararangua","BRAZIL",-28.866,-49.51,11
3104,"Araripe","BRAZIL",-7.22,-40.105,605
3105,"Araripina","BRAZIL",-7.533,-40.566,620
3107,"Araruna","BRAZIL",-6.52,-35.716,580
3121,"Araure","VENEZUELA",9.6,-69.216,200
3125,"Araxa","BRAZIL",-19.566,-46.933,1004
3128,"Araxos","GREECE",38.166,21.416,15
3130,"Arba Minch","ETHIOPIA",6.066,37.666,1219
3139,"Arboletes","COLOMBIA",8.84,-76.41,4
3141,"Arbon 2 Nw","UNITED STATES",42.5,-112.566,1576
3143,"Arcade","UNITED STATES",42.533,-78.416,475
3144,"Arcadia","UNITED STATES",27.235,-81.85,19
3145,"Arcadia","UNITED STATES",37.583,-90.616,282
3153,"Archbold Biologic Stn","UNITED STATES",27.183,-81.35,43
3154,"Archer","UNITED STATES",41.15,-104.65,1832
3155,"Archer City","UNITED STATES",33.583,-98.633,312
3161,"Arco 3 Sw","UNITED STATES",43.6,-113.333,1624
3162,"Arco De Piedra","MEXICO",16.19,-92.66,450
3163,"Arcola","UNITED STATES",36.3,-77.983,101
3165,"Arctic Bay, Nw","CANADA",73.03,-85.15,11
3168,"Ardahan","TURKEY",41.1,42.7,1829
3175,"Ardmore","UNITED STATES",34.21,-97.155,256
3176,"Ardmore","UNITED STATES",34.3,-97.02,240
3177,"Ardmore 2 N","UNITED STATES",43.05,-103.65,1082
3183,"Areia","BRAZIL",-6.95,-35.683,445
3184,"Areia Branca","BRAZIL",-4.933,-37.11,5
3186,"Arekuna","VENEZUELA",6.466,-62.883,374
3197,"Arenillas","ECUADOR",-3.555,-80.08,15
3203,"Arezzo","ITALY",43.46,11.85,249
3208,"Argentia A, Nf","CANADA",47.3,-54,16
3213,"Argyle 4 E","UNITED STATES",48.333,-96.733,265
3220,"Arhara","RUSSIAN FEDERATION",49.42,130.08,135
3240,"Ario De Rosales","MEXICO",19.19,-101.7,1900
3255,"Arizona","BRAZIL",-8.65,-40.96,500
3261,"Arjo","ETHIOPIA",8.745,36.49,2565
3266,"Arkadelphia 2 N","UNITED STATES",34.15,-93.05,60
3269,"Arkansas Post","UNITED STATES",34.016,-91.35,59
3270,"Arkaroola","AUSTRALIA",-30.32,139.33,340
3276,"Arlington","UNITED STATES",45.716,-120.2,87
3279,"Arlington Univ Farm","UNITED STATES",43.3,-89.35,329
3287,"Armagh, Qu","CANADA",46.75,-70.53,358
